IRS-Number,Spray Date,SOP Code,County,Sub-county,Ward,Sub-location,Village,Sprayed,Re-visit,Reason for No Spray,Not sprayed: Female Children < 5 years,Not sprayed: Male Children < 5 years,Sprayed: Female Children < 5 years,Sprayed: Male Children < 5 years,Institution Name,Female Children <5 years sleeping under nets,Male Children <5 years sleeping under nets,Nets owned,Not sprayed: Female,Not sprayed: Male,Not sprayed: Pregnant women,Number Mixed,Pregnant women sleeping under nets,Rooms found,Rooms sprayed,Number Sleeping under nets,Sprayed: Female,Sprayed: Male,Sprayed: Pregnant women,Nets in use (Details),Children <5 years sleeping under nets
298229,04/12/2023,2061334,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kasimba Sub-location,Kodik Village,1,,,0,0,0,1,,,,2,,,,1,0,2,2,3,2,1,0,2,1
24031,3/17/2023,1020406,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Kaudha Village,1,,,,,1,1,,,,0,,,,0,,3,3,,3,2,0,0,
14317,03/06/2023,1020379,Migory County,Awendo Sub-County,South Sakwa Ward,Kogelo East Sub-location,Dago Village (Kogelo East Sub-location),1,,,,,1,0,,,,2,,,,1,0,2,2,4,3,1,0,2,1
147343,03/06/2023,1070914,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Kiwiro Village (Kajulu 2 Lower Sub-location),1,,,,,0,2,,,,1,,,,0,0,3,3,1,4,6,0,1,0
126693,3/17/2023,1070935,Migory County,Uriri Sub-County,North Kanyamkago Ward,Komenya Sub-location,Ongora Village (Komenya Sub-location),1,,,,,0,0,,,,3,,,,0,0,3,3,5,2,3,0,3,0
160842,04/12/2023,2020657,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,0,0,,,,0,,,,0,,1,1,,1,0,0,0,
244621,4/18/2023,2051213,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Gotkomolo A  B Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,2,3,0,0,
142510,3/17/2023,1070915,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Ongenga Village,1,,,,,0,0,,,,0,,,,0,,2,2,,2,1,0,0,
225413,04/12/2023,2041070,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kilusi Sub-location,Wikokumu Village,1,,,0,0,0,0,,,,1,,,,1,0,5,5,1,1,2,0,1,0
249679,4/18/2023,2051095,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kamenya Central  Sub-location,Nyalik A Village,0,,2. Locked,0,1,,,,,,3,5,3,0,0,0,5,,5,,,,3,1
126971,3/17/2023,1070941,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho II Sub-location,Kasam Otieno B Village,0,,3. Funeral,0,0,,,,,,1,0,6,0,0,0,2,,2,,,,1,0
324354,4/18/2023,2071445,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Kobonyo A Village (Kamenya Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,3,3,1,0,1,0,1,0
142747,3/17/2023,1070871,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 1B Sub-location,Kodero Village (Kajulu 1b Sub-location),1,,,,,0,0,,,,0,,,,0,,5,4,,3,2,0,0,
74865,03/06/2023,1050627,Migory County,Suna East Sub-County,Kwa Ward,Remo Sub-location,Remo E Village,1,,,,,0,0,,,,0,,,,1,,2,2,,2,0,0,0,
61456,03/06/2023,1050702,Migory County,Suna East Sub-County,God Jope Ward,Osingo North Sub-location,Sango Village (Osingo North Sub-location),1,,,,,1,0,,,,0,,,,0,,2,2,,1,1,0,0,
273394,04/12/2023,2051146,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kayoo West Sub-location (Karachuonyo West Ward),Kotolo/Kamayo Village,1,,,0,0,0,0,,,,2,,,,1,0,2,2,2,1,1,0,2,0
274330,04/12/2023,2051152,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kowuor Sub-location,Koloo A Village,1,,,0,0,0,1,,,,2,,,,1,0,2,2,5,3,2,0,2,1
313879,04/12/2023,2071508,Homa Bay County,Rangwe Sub-County,East Gem Ward,Kotieno Sub-location,Atili Village,1,,,0,0,0,1,,,,2,,,,0,0,2,2,3,1,2,0,2,1
94122,03/06/2023,1060784,Migory County,Suna West Sub-County,Wasimbete Ward,Giribe Sub-location,Boya Village (Giribe Sub-location),1,,,,,0,0,,,,0,,,,0,,1,1,,1,3,0,0,
147555,04/12/2023,2020640,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Yao B Village,1,,,0,0,0,0,,,,1,,,,0,0,4,4,2,1,3,0,1,0
226062,04/12/2023,2040976,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kodumo West Sub-location,Kachieng' Opanga Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,4,2,0,0,
6364,03/06/2023,1020328,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kibabu Village,1,,,,,1,1,,,,2,,,,0,0,3,3,5,3,2,0,2,2
161100,04/12/2023,2020722,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Asego Sub-location,Asego Kogwawi Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,3,0,3,0,1,0
241982,4/18/2023,2051202,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Katonde Sub-location,Kopiyo A Village (Katonde Sub-location),1,,,0,0,0,0,,,,3,,,,1,0,3,3,6,3,3,0,3,0
121763,03/06/2023,1070942,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho I Sub-location,Kanyogot A Village,1,,,,,0,2,,,,1,,,,0,0,2,2,4,1,3,0,1,2
87583,03/06/2023,1060802,Migory County,Suna West Sub-County,Oruba Ragana Ward,Lower Marindi Sub-location,Osaka (Lower Marindi Sub-location),1,,,,,0,0,,,,1,,,,1,0,2,2,1,0,1,0,1,0
41508,03/06/2023,1030479,Migory County,Nyatike Sub-County,Kanyasa Ward,Wang'aya Sub-location,Nyodieny A Village (Wang'aya Sub-location),1,,,,,0,1,,,,0,,,,0,,3,3,,3,1,0,0,
178330,04/12/2023,2030889,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kajwang Sub-location,Ramoya B Village (Kajwang Sub-location),1,,,0,0,0,0,,,,1,,,,1,0,5,5,2,1,1,0,1,0
370152,04/12/2023,2030957,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kaguria Sub-location,Nyarwenya A Village,1,,,0,0,0,1,,,,1,,,,0,0,2,2,2,2,5,0,1,0
24004,3/17/2023,1020410,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kombasa Kawuor Village,1,,,,,0,0,,,,2,,,,1,0,2,2,4,0,4,0,2,0
78883,3/17/2023,1050622,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi A Village,1,,,,,0,0,,,,2,,,,0,1,2,2,4,4,3,1,2,0
147843,04/12/2023,2020712,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Muche A Village,1,,,0,0,0,0,,,,2,,,,0,0,2,2,3,2,1,0,2,0
324462,4/18/2023,2071452,Homa Bay County,Rangwe Sub-County,Kochia Ward,Korayo Sub-location,Lower Kagola Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,1,0,1,0,1,0
3959,3/17/2023,1020307,Migory County,Awendo Sub-County,Central Sakwa Ward,Kanyagwala Sub-location,Kindu B Village,1,,,,,0,0,,,,3,,,,0,0,3,3,6,3,3,0,3,0
121641,03/06/2023,1070932,Migory County,Uriri Sub-County,North Kanyamkago Ward,Komenya Sub-location,Marungu Village,1,,,,,1,0,,,,1,,,,0,0,2,2,4,2,1,0,1,1
147083,03/06/2023,1070887,Migory County,Uriri Sub-County,West Kanyamkago Ward,Upper Kajulu 1 Sub-location,Nyabinga II Village(Upper Kajulu 1 Sub-location),1,,,,,0,1,,,,0,,,,0,,2,2,,2,2,0,0,
24073,3/17/2023,1020405,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Kaudha Village,1,,,,,1,1,,,,0,,,,1,,3,3,,4,2,0,0,
268353,04/12/2023,2051134,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya east Sub-location,Kalal Upper Village,1,,,0,0,0,0,,,,2,,,,1,0,2,2,4,2,2,0,2,0
99024,03/06/2023,1060760,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamilu sub location,Ramoya C Village (Nyamilu sub location),1,,,,,1,1,,,,2,,,,1,0,1,1,4,4,3,0,2,2
327146,4/18/2023,2071482,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kanyanjwa A Sub-location,Kasewe Village (Kanyanjwa Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,1,1,4,0,4,0,1,0
43484,03/06/2023,1030510,Migory County,Nyatike Sub-County,Macalder Kanyarwanda Ward,Mikei Sub-location,Ogongo 2 Village,0,,3. Funeral,2,0,,,,,,2,4,1,0,0,0,4,,5,,,,2,2
265625,4/18/2023,2051262,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Mikuya Village,1,,,0,0,0,1,,,,2,,,,1,0,3,3,4,2,2,0,2,1
267806,4/18/2023,2051144,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya east Sub-location,Konyi Upper Village,1,,,0,0,0,0,,,,2,,,,0,0,5,5,2,0,2,0,2,0
49559,03/06/2023,1030548,Migory County,Nyatike Sub-County,Muhuru Ward,Ibencho Sub-location,Ibencho A Village,1,,,,,0,0,,,,1,,,,0,0,1,1,3,2,1,0,1,0
108262,3/17/2023,1061226,Migory County,Suna West Sub-County,Wiga Ward,God Kwer Sub-location,Sibuoche A Village (God Kwer Sub-location),1,,,,,0,0,,,,2,,,,0,1,1,1,5,2,3,1,2,0
216781,04/12/2023,2041009,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Kamroth  Sub-location,Kowuor Oklola Village,1,,,0,0,0,1,,,,3,,,,0,0,2,2,5,2,3,0,3,1
227097,04/12/2023,2040969,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Koloo Sub-location,Kanyanguara Village,1,,,0,0,0,0,,,,1,,,,1,0,5,4,2,1,1,0,1,0
